Species,ThermalAffinity,BodySize,DepthRange,PLD,Diet,Aggregation,Position,ParentalMode,JPN_sp,AUS_sp,RMI_sp
Abudefduf bengalensis,tropical,17,5,22.5,Omnivore,schools,UpperBenthic,Nesters,0,1,0
Abudefduf notatus,tropical,17,11,22.5,Planktivore,schools,UpperBenthic,Nesters,0,1,0
Abudefduf septemfasciatus,tropical,23,3,23,Omnivore,groups,UpperBenthic,Nesters,0,1,0
Abudefduf sexfasciatus,tropical,19,19,21.5,Planktivore,schools,UpperBenthic,Nesters,1,1,0
Abudefduf vaigiensis,tropical,20,14,23,Planktivore,schools,UpperBenthic,Nesters,1,1,1
Abudefduf whitleyi,tropical,14,4,19.5,Planktivore,schools,UpperBenthic,Nesters,0,1,0
Acanthistius ocellatus,temperate,45,96,24.7,Predator,solitary,SubBenthic,scatterers,0,1,0
Acanthurus achilles,tropical,24,10,59.7,Herbivore,groups,Benthic,scatterers,0,0,1
Acanthurus albipectoralis,tropical,33,15,39.5,Planktivore,groups,ReefPelagic,scatterers,1,1,0
Acanthurus blochii,tropical,45,13,39.5,Herbivore,groups,UpperBenthic,scatterers,0,0,1
Acanthurus dussumieri,tropical,54,127,39.5,Detritivore,groups,ReefPelagic,scatterers,1,1,0
Acanthurus guttatus,tropical,26,8,39.5,Herbivore,schools,UpperBenthic,scatterers,0,0,1
Acanthurus japonicus,tropical,21,20,59.7,Herbivore,solitary,Benthic,scatterers,1,0,0
Acanthurus leucocheilus,tropical,45,37,59.7,Herbivore,solitary,UpperBenthic,scatterers,0,0,1
Acanthurus lineatus,tropical,38,2,39.5,Herbivore,groups,Benthic,scatterers,1,1,1
Acanthurus maculiceps,tropical,40,12,39.5,Herbivore,solitary,UpperBenthic,scatterers,1,0,0
Acanthurus mata,tropical,50,95,39.5,Planktivore,groups,ReefPelagic,scatterers,1,1,1
Acanthurus nigricans,tropical,21.3,66,59.7,Herbivore,solitary,Benthic,scatterers,0,1,1
Acanthurus nigricansxachilles,tropical,21.3,66,59.7,Herbivore,solitary,Benthic,scatterers,0,0,1
Acanthurus nigricauda,tropical,40,29,59.7,Herbivore,solitary,Benthic,scatterers,0,0,1
Acanthurus nigrofuscus,tropical,21,25,31,Herbivore,solitary,Benthic,scatterers,1,1,1
Acanthurus nigroris,tropical,25,89,59.7,Omnivore,solitary,Benthic,scatterers,0,0,1
Acanthurus olivaceus,tropical,35,43,59.65,Detritivore,solitary,UpperBenthic,scatterers,1,1,1
Acanthurus pyroferus,tropical,29,56,59.65,Herbivore,solitary,UpperBenthic,scatterers,1,1,1
Acanthurus sp.,tropical,35,120,59.65,Detritivore,solitary,UpperBenthic,scatterers,0,1,0
Acanthurus thompsoni,tropical,27,115,59.65,Planktivore,groups,UpperBenthic,scatterers,1,0,1
Acanthurus triostegus,tropical,27,90,47.4,Herbivore,groups,Benthic,scatterers,0,1,0
Acanthurus xanthopterus,tropical,70,99,59.65,Omnivore,schools,UpperBenthic,scatterers,0,0,1
Achoerodus viridis,subtropical,62,40,22.5,Predator,solitary,UpperBenthic,scatterers,0,1,0
Aethaloperca rogaa,tropical,60,47,29.6,Piscivore,solitary,SubBenthic,scatterers,0,1,1
Aetobatus narinari,tropical,330,79,0,Predator,solitary,Pelagic,Live bearers,1,1,1
Aluterus scriptus,tropical,110,117,28,Omnivore,pairs,UpperBenthic,scatterers,0,0,1
Amanses scopas,tropical,20,15,37,Omnivore,pairs,UpperBenthic,scatterers,1,1,1
Amblyglyphidodon aureus,tropical,13,42,16.5,Planktivore,solitary,UpperBenthic,Nesters,1,0,1
Amblyglyphidodon curacao,tropical,11,39,15.68,Planktivore,groups,CoralAssociated,Nesters,1,1,1
Amblyglyphidodon leucogaster,tropical,13,43,16.35,Predator,solitary,CoralAssociated,Nesters,1,0,1
Amblygobius phalaena,tropical,15,18,19.66,Omnivore,pairs,Demersal,Nesters,0,0,1
Amphiprion akindynos,subtropical,9,24,12.4,Omnivore,groups,Anemone,Nesters,0,1,0
Amphiprion clarkii,tropical,15,59,12.15,Planktivore,groups,Anemone,Nesters,1,0,0
Amphiprion latezonatus,subtropical,14,35,11.5,Omnivore,groups,Anemone,Nesters,0,1,0
Amphiprion melanopus,tropical,12,17,12.4,Planktivore,groups,Anemone,Nesters,1,1,1
Amphiprion ocellaris,tropical,11,12,10.8,Omnivore,groups,Anemone,Nesters,1,0,0
Amphiprion perideraion,tropical,10,37,14.3,Herbivore,groups,Anemone,Nesters,1,0,1
Amphiprion sandaracinos,tropical,1,17,14.3,Planktivore,groups,Anemone,Nesters,1,0,0
Amphiprion tricinctus,tropical,12,37,10.1,Omnivore,groups,Anemone,Nesters,0,0,1
Anampses caeruleopunctatus,tropical,42,27,25,Predator,solitary,UpperBenthic,scatterers,1,1,1
Anampses femininus,tropical,24,20,28.8,Predator,solitary,UpperBenthic,scatterers,0,1,0
Anampses geographicus,tropical,31,25,28.8,Predator,solitary,UpperBenthic,scatterers,0,1,0
Anampses melanurus,tropical,12,25,29.5,Predator,solitary,UpperBenthic,scatterers,1,1,1
Anampses meleagrides,tropical,22,57,29.5,Predator,solitary,UpperBenthic,scatterers,1,0,1
Anampses neoguinaicus,tropical,20,26,29.5,Predator,groups,UpperBenthic,scatterers,0,1,0
Anampses twistii,tropical,18,25,28.8,Predator,groups,UpperBenthic,scatterers,1,0,1
Anoplocapros inermis,subtropical,37,290,58,Omnivore,solitary,UpperBenthic,scatterers,0,1,0
Anyperodon leucogrammicus,tropical,65,75,29.6,Predator,solitary,Benthic,scatterers,0,0,1
Aphareus furca,tropical,70,121,45,Predator,solitary,UpperBenthic,scatterers,1,0,1
Aplodactylus lophodon,subtropical,45,10,300,Herbivore,solitary,Demersal,scatterers,0,1,0
Apogonichthyoides cathetogramma,tropical,12,15,24,Predator,solitary,Benthic,brooders,1,0,0
Apolemichthys trimaculatus,tropical,26,57,24.2,Predator,solitary,Benthic,scatterers,1,0,0
Aprion virescens,tropical,112,180,45,Predator,solitary,ReefPelagic,scatterers,1,1,1
Aptychotrema rostrata,temperate,100,40,0,Predator,solitary,Demersal,Live bearers,0,1,0
Argyrosomus japonicus,tropical,180,NA,33.7,Predator,solitary,UpperBenthic,scatterers,0,1,0
Arothron caeruleopunctatus,tropical,80,NA,40.8,Predator,solitary,Benthic,scatterers,0,1,0
Arothron hispidus,tropical,50,49,40.8,Omnivore,solitary,Benthic,scatterers,0,1,0
Arothron manilensis,tropical,31,10,40.8,Predator,solitary,Benthic,scatterers,0,1,0
Arothron meleagris,tropical,50,72,40.8,Omnivore,solitary,Benthic,NA,0,0,1
Arothron nigropunctatus,tropical,33,22,40.8,Predator,solitary,Benthic,scatterers,1,1,1
Arothron reticularis,tropical,45,24,40.8,Corrallivore,solitary,Benthic,scatterers,0,1,0
Arothron stellatus,tropical,120,55,40.8,Predator,solitary,Benthic,scatterers,0,1,0
Aspidontus dussumieri,tropical,12,19,24,Detritivore,solitary,Benthic,Nesters,0,1,0
Aspidontus taeniatus,tropical,11.5,24,24,Predator,solitary,UpperBenthic,Nesters,0,1,1
Asterropteryx atripes,subtropical,6,15,NA,Omnivore,solitary,Demersal,NA,1,0,0
Atypichthys strigatus,subtropical,25,NA,35,Planktivore,schools,ReefPelagic,scatterers,0,1,0
Aulostomus chinensis,tropical,80,119,93.3,Predator,solitary,ReefPelagic,scatterers,1,1,1
Austrolabrus maculatus,temperate,12,30,22.5,Predator,solitary,Benthic,scatterers,0,1,0
Balistapus undulatus,tropical,30,48,51.3,Omnivore,solitary,UpperBenthic,Nesters,1,1,1
Balistoides conspicillum,tropical,50,74,36.5,Predator,solitary,UpperBenthic,Nesters,1,1,0
Balistoides viridescens,tropical,75,49,51.3,Predator,solitary,NA,Nesters,1,0,1
Belonoperca chabanaudi,tropical,15,46,42,Predator,solitary,Benthic,NA,0,0,1
Bodianus axillaris,tropical,20,38,23,Predator,solitary,UpperBenthic,scatterers,1,1,1
Bodianus bilunulatus,tropical,55,157,66.8,Predator,solitary,UpperBenthic,scatterers,1,0,0
Bodianus diana,tropical,16.9,44,30.3,Predator,solitary,UpperBenthic,scatterers,0,1,0
Bodianus loxozonus,tropical,47,37,59.6,Predator,solitary,UpperBenthic,scatterers,1,0,0
Bodianus perditio,subtropical,80,110,59.6,Predator,solitary,UpperBenthic,scatterers,0,1,0
Brachaluteres jacksonianus,temperate,10,72,20,Herbivore,solitary,Benthic,scatterers,0,1,0
Brotula multibarbata,subtropical,100,649,NA,Predator,solitary,UpperBenthic,scatterers,1,0,0
Bryaninops natans,tropical,2.5,20,25,Planktivore,groups,CoralAssociated,demersal,0,0,1
Caesio caerulaurea,tropical,35,49,22,Planktivore,schools,ReefPelagic,scatterers,0,1,1
Caesio cuning,tropical,60,59,42,Planktivore,schools,ReefPelagic,scatterers,0,1,0
Caesio lunaris,tropical,40,50,42,Planktivore,schools,ReefPelagic,scatterers,0,1,0
Caesio sp.,tropical,40,NA,42,Planktivore,schools,ReefPelagic,scatterers,0,1,0
Caesio teres,tropical,40,45,22,Planktivore,schools,ReefPelagic,scatterers,0,0,1
Calotomus carolinus,tropical,54,70,29,Herbivore,solitary,Benthic,scatterers,1,0,1
Calotomus japonicus,subtropical,39,25,29,Herbivore,solitary,Benthic,scatterers,1,0,0
Cantherhines dumerilii,tropical,38,64,20,Predator,solitary,Benthic,scatterers,0,0,1
Cantherhines pardalis,tropical,25,18,20,Predator,pairs,Benthic,scatterers,1,1,1
Cantheschenia grandisquamis,temperate,26,29,37,Herbivore,pairs,Benthic,scatterers,0,1,0
Canthigaster axiologus,tropical,11,70,88.5,Predator,pairs,Benthic,NA,1,0,1
Canthigaster bennetti,tropical,10,14,88.5,Herbivore,solitary,AlgaeAssociated,Nesters,0,1,0
Canthigaster callisterna,temperate,23,250,18,Omnivore,pairs,Benthic,scatterers,0,1,0
Canthigaster compressa,tropical,12,23,88.5,Predator,pairs,Benthic,NA,0,0,1
Canthigaster coronata,tropical,11,159,18,Omnivore,pairs,Benthic,scatterers,1,1,0
Canthigaster rivulata,tropical,18,350,NA,Predator,pairs,Benthic,scatterers,1,0,0
Canthigaster sp.,tropical,11.5,NA,88.5,Omnivore,pairs,Benthic,NA,0,1,0
Canthigaster valentini,tropical,11,54,18,Omnivore,groups,Benthic,scatterers,1,1,0
Carangoides ferdau,tropical,70,59,57.6,Predator,groups,Pelagic,scatterers,0,1,1
Carangoides fulvoguttatus,tropical,120,NA,57.6,Piscivore,groups,Pelagic,scatterers,0,1,0
Carangoides plagiotaenia,tropical,50,198,57.6,Piscivore,solitary,Pelagic,scatterers,0,1,0
Carangoides sp.,tropical,60,190,57.6,Piscivore,solitary,Pelagic,scatterers,1,0,0
Caranx lugubris,tropical,100,NA,57.6,Piscivore,schools,Pelagic,scatterers,0,0,1
Caranx melampygus,tropical,117,190,57.6,Piscivore,solitary,Pelagic,scatterers,1,1,1
Caranx sexfasciatus,tropical,120,146,57.6,Piscivore,schools,Pelagic,scatterers,0,1,0
Caranx sp.,tropical,126.75,NA,57.6,Piscivore,solitary,Pelagic,scatterers,1,0,0
Carcharhinus amblyrhynchos,tropical,255,1000,0,Apex,schools,UpperBenthic,Live bearers,0,0,1
Carcharhinus melanopterus,tropical,200,55,0,Apex,solitary,UpperBenthic,Live bearers,0,0,1
Carcharias taurus,subtropical,320,190,0,Apex,solitary,ReefPelagic,Live bearers,0,1,0
Centropyge bicolor,tropical,15,24,31.5,Herbivore,pairs,Benthic,scatterers,1,1,1
Centropyge bispinosa,tropical,10,57,32,Omnivore,solitary,Benthic,scatterers,0,1,1
Centropyge ferrugata,tropical,10,24,38,Omnivore,solitary,Benthic,scatterers,1,0,0
Centropyge flavicauda,tropical,7.5,85,26.2,Herbivore,solitary,Benthic,scatterers,0,1,0
Centropyge flavissima,tropical,14,47,30,Herbivore,solitary,Benthic,scatterers,0,1,1
Centropyge flavXvrol,tropical,14,47,30,Herbivore,solitary,Benthic,scatterers,0,0,1
Centropyge heraldi,tropical,10,85,32,Herbivore,groups,Benthic,scatterers,1,0,1
Centropyge interrupta,temperate,15,48,38,Omnivore,pairs,SubBenthic,scatterers,1,0,0
Centropyge loriculus,tropical,15,45,38,Herbivore,groups,Benthic,scatterers,0,0,1
Centropyge tibicen,tropical,19,51,30.5,Herbivore,groups,Benthic,scatterers,1,1,0
Centropyge vrolikii,tropical,12,24,29,Herbivore,solitary,Benthic,scatterers,1,1,1
Cephalopholis argus,tropical,60,39,27.5,Predator,solitary,Benthic,scatterers,1,1,1
Cephalopholis boenak,tropical,30,63,31,Predator,solitary,Benthic,scatterers,0,1,0
Cephalopholis cyanostigma,tropical,40,49,24.3,Predator,solitary,Benthic,scatterers,1,1,0
Cephalopholis miniata,tropical,45,148,27.5,Predator,solitary,Benthic,scatterers,1,1,1
Cephalopholis sonnerati,tropical,57,130,31,Predator,solitary,Benthic,scatterers,1,0,0
Cephalopholis spiloparaea,tropical,30,93,31,Predator,solitary,Benthic,scatterers,0,0,1
Cephalopholis urodeta,tropical,28,59,24.3,Predator,solitary,Benthic,scatterers,1,0,1
Cetoscarus bicolor,tropical,90,29,37,Herbivore,solitary,UpperBenthic,scatterers,0,1,1
Cetoscarus ocellatus,tropical,80,29,37,Herbivore,solitary,UpperBenthic,scatterers,1,0,0
Chaenogobius gulosus,temperate,11.7,5,80,Planktivore,groups,Benthic,scatterers,1,0,0
Chaetodon argentatus,tropical,20,15,NA,Omnivore,pairs,Benthic,scatterers,1,0,0
Chaetodon aureofasciatus,tropical,12.5,10,35.5,Corrallivore,solitary,Benthic,scatterers,0,1,0
Chaetodon auriga,tropical,23,59,46.5,Corrallivore,solitary,Benthic,scatterers,1,1,1
Chaetodon auripes,subtropical,20,29,46.5,Predator,groups,Benthic,scatterers,1,0,0
Chaetodon baronessa,tropical,16,15,35.5,Corrallivore,pairs,CoralAssociated,scatterers,1,1,0
Chaetodon bennetti,tropical,20,29,46.5,Omnivore,pairs,Benthic,scatterers,1,0,1
Chaetodon citrinellus,tropical,13,35,50.5,Omnivore,pairs,Benthic,scatterers,1,1,1
Chaetodon ephippium,tropical,30,30,38.75,Predator,solitary,UpperBenthic,scatterers,1,0,1
Chaetodon flavirostris,tropical,20,28,47.27,Omnivore,solitary,Benthic,scatterers,0,1,0
Chaetodon guentheri,tropical,18,35,50.5,Omnivore,schools,UpperBenthic,scatterers,0,1,0
Chaetodon kleinii,tropical,15,57,56,Omnivore,solitary,Benthic,scatterers,1,1,1
Chaetodon lineolatus,tropical,30,169,54,Corrallivore,pairs,SubBenthic,scatterers,1,1,1
Chaetodon lunula,tropical,20,170,43,Predator,pairs,CoralAssociated,scatterers,1,1,1
Chaetodon lunulatus,tropical,14,27,39.3,Corrallivore,pairs,CoralAssociated,scatterers,1,1,1
Chaetodon melannotus,tropical,18,18,39.3,Corrallivore,pairs,CoralAssociated,scatterers,1,1,1
Chaetodon meyeri,tropical,20,23,46.5,Corrallivore,pairs,Benthic,scatterers,0,0,1
Chaetodon nippon,subtropical,15,25,NA,Omnivore,groups,Benthic,scatterers,1,0,0
Chaetodon ornatissimus,tropical,20,35,62.5,Corrallivore,pairs,Benthic,scatterers,1,0,1
Chaetodon oxycephalus,tropical,25,30,54,Corrallivore,solitary,Benthic,scatterers,1,0,0
Chaetodon plebeius,tropical,15,10,44,Corrallivore,pairs,Benthic,scatterers,1,1,0
Chaetodon punctatofasciatus,tropical,12,44,35,Omnivore,pairs,Benthic,scatterers,1,1,1
Chaetodon quadrimaculatus,tropical,16,41,47.27,Corrallivore,pairs,Benthic,scatterers,0,0,1
Chaetodon rafflesii,tropical,18,14,44.5,Predator,pairs,Benthic,scatterers,0,0,1
Chaetodon rainfordi,tropical,15,14,31.4,Omnivore,pairs,Benthic,scatterers,0,1,0
Chaetodon reticulatus,tropical,18,39,44.5,Omnivore,groups,Benthic,scatterers,0,0,1
Chaetodon semeion,tropical,26,48,43,Predator,pairs,UpperBenthic,scatterers,0,0,1
Chaetodon sp.,tropical,17,NA,35,Corrallivore,pairs,Benthic,scatterers,0,1,0
Chaetodon speculum,tropical,18,27,44.7,Predator,pairs,Benthic,scatterers,1,1,0
Chaetodon tricinctus,subtropical,15,12,NA,Omnivore,pairs,Benthic,scatterers,0,1,0
Chaetodon trifascialis,tropical,18,28,35.7,Corrallivore,pairs,Benthic,scatterers,1,1,1
Chaetodon ulietensis,tropical,15,28,41,Predator,solitary,UpperBenthic,scatterers,0,0,1
Chaetodon unimaculatus,tropical,20,59,35,Omnivore,pairs,Benthic,scatterers,1,1,1
Chaetodon vagabundus,tropical,23,25,42.26,Omnivore,pairs,Benthic,scatterers,1,1,1
Chaetodon wiebeli,tropical,19,21,NA,Omnivore,pairs,UpperBenthic,scatterers,1,0,0
